Dia,Hora de início,Impressões
Domingo,00,208
Domingo,01,152
Domingo,02,95
Domingo,03,60
Domingo,04,50
Domingo,05,34
Domingo,06,63
Domingo,07,142
Domingo,08,207
Domingo,09,317
Domingo,10,323
Domingo,11,464
Domingo,12,434
Domingo,13,441
Domingo,14,464
Domingo,15,464
Domingo,16,558
Domingo,17,489
Domingo,18,439
Domingo,19,479
Domingo,20,555
Domingo,21,478
Domingo,22,405
Domingo,23,208
Segunda-feira,00,223
Segunda-feira,01,106
Segunda-feira,02,54
Segunda-feira,03,39
Segunda-feira,04,41
Segunda-feira,05,33
Segunda-feira,06,62
Segunda-feira,07,112
Segunda-feira,08,241
Segunda-feira,09,377
Segunda-feira,10,458
Segunda-feira,11,500
Segunda-feira,12,456
Segunda-feira,13,540
Segunda-feira,14,488
Segunda-feira,15,501
Segunda-feira,16,503
Segunda-feira,17,366
Segunda-feira,18,315
Segunda-feira,19,402
Segunda-feira,20,414
Segunda-feira,21,249
Segunda-feira,22,217
Segunda-feira,23,131
Terça-feira,00,177
Terça-feira,01,88
Terça-feira,02,57
Terça-feira,03,44
Terça-feira,04,28
Terça-feira,05,42
Terça-feira,06,65
Terça-feira,07,112
Terça-feira,08,212
Terça-feira,09,345
Terça-feira,10,389
Terça-feira,11,400
Terça-feira,12,426
Terça-feira,13,465
Terça-feira,14,518
Terça-feira,15,491
Terça-feira,16,502
Terça-feira,17,380
Terça-feira,18,433
Terça-feira,19,460
Terça-feira,20,508
Terça-feira,21,485
Terça-feira,22,463
Terça-feira,23,320
Quarta-feira,00,267
Quarta-feira,01,163
Quarta-feira,02,93
Quarta-feira,03,39
Quarta-feira,04,32
Quarta-feira,05,64
Quarta-feira,06,79
Quarta-feira,07,192
Quarta-feira,08,363
Quarta-feira,09,494
Quarta-feira,10,543
Quarta-feira,11,465
Quarta-feira,12,425
Quarta-feira,13,407
Quarta-feira,14,464
Quarta-feira,15,354
Quarta-feira,16,427
Quarta-feira,17,392
Quarta-feira,18,439
Quarta-feira,19,435
Quarta-feira,20,418
Quarta-feira,21,407
Quarta-feira,22,327
Quarta-feira,23,154
Quinta-feira,00,189
Quinta-feira,01,127
Quinta-feira,02,73
Quinta-feira,03,47
Quinta-feira,04,14
Quinta-feira,05,40
Quinta-feira,06,76
Quinta-feira,07,136
Quinta-feira,08,181
Quinta-feira,09,345
Quinta-feira,10,383
Quinta-feira,11,424
Quinta-feira,12,490
Quinta-feira,13,452
Quinta-feira,14,428
Quinta-feira,15,387
Quinta-feira,16,449
Quinta-feira,17,422
Quinta-feira,18,387
Quinta-feira,19,394
Quinta-feira,20,421
Quinta-feira,21,354
Quinta-feira,22,343
Quinta-feira,23,239
Sexta-feira,00,196
Sexta-feira,01,118
Sexta-feira,02,43
Sexta-feira,03,37
Sexta-feira,04,45
Sexta-feira,05,23
Sexta-feira,06,68
Sexta-feira,07,158
Sexta-feira,08,206
Sexta-feira,09,313
Sexta-feira,10,461
Sexta-feira,11,456
Sexta-feira,12,441
Sexta-feira,13,447
Sexta-feira,14,356
Sexta-feira,15,363
Sexta-feira,16,289
Sexta-feira,17,224
Sexta-feira,18,215
Sexta-feira,19,251
Sexta-feira,20,309
Sexta-feira,21,225
Sexta-feira,22,255
Sexta-feira,23,213
Sábado,00,224
Sábado,01,136
Sábado,02,90
Sábado,03,26
Sábado,04,34
Sábado,05,37
Sábado,06,70
Sábado,07,115
Sábado,08,233
Sábado,09,251
Sábado,10,336
Sábado,11,396
Sábado,12,364
Sábado,13,426
Sábado,14,346
Sábado,15,279
Sábado,16,327
Sábado,17,367
Sábado,18,296
Sábado,19,287
Sábado,20,352
Sábado,21,371
Sábado,22,240
Sábado,23,189
