Palavra-chave da rede de pesquisa,Tipo de corresp.,Status do critério,Status da campanha,Status do grupo de anúncios,Custo,Cliques,CTR
imobiliária em gramado,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 493,94",668,"11,12%"
casa em canela rs,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 466,10",916,"14,38%"
imobiliária em canela,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 449,65",670,"11,06%"
casa em gramado rs,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 443,42",824,"12,18%"
apartamento em canela rs,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 182,56",350,"10,92%"
imóveis à venda em gramado,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 162,63",242,"10,11%"
apartamento em gramado rs,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 149,43",248,"8,80%"
imóveis à venda em canela,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 133,22",252,"13,04%"
comprar apartamento em Gramado,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 123,03",29,"5,63%"
casa em condomínio Gramado,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 103,82",46,"6,17%"
casa de campo em Gramado,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 79,79",14,"6,42%"
terrenos à venda em canela,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 73,38",139,"15,24%"
comprar casa em canela rs,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 51,67",99,"14,08%"
terrenos à venda em gramado,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 48,17",90,"15,65%"
apartamento mobiliado Gramado,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 48,14",21,"8,14%"
comprar casa em gramado rs,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 46,38",66,"11,07%"
aluguel de imóveis em gramado,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 39,90",37,"13,36%"
terreno em canela rs,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 39,35",67,"14,60%"
terreno em gramado rs,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 37,50",61,"14,59%"
comprar casa em Gramado,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 29,40",27,"8,91%"
apartamento à venda gramado,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 21,63",25,"7,29%"
casa em condomínio gramado,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 19,63",36,"11,92%"
apartamento à venda canela,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 19,02",37,"8,87%"
imobiliária em canela,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 15,57",15,"11,45%"
imobiliária em gramado,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 7,21",6,"9,68%"
condomínio fechado em Gramado,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 6,53",3,"4,92%"
casas para alugar em gramado,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 6,11",9,"15,25%"
certa prime imóveis,Corresp. exata,Ativado,Ativado,Ativado,"R$ 4,99",7,"46,67%"
terreno em Gramado RS,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 2,05",2,"7,69%"
imóveis em Gramado à venda,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,99",1,"14,29%"
aluguel apartamento canela,Corresp. exata,Ativado,Ativado,Ativado,"R$ 0,63",1,"50,00%"
investir em imóvel em gramado,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
gramado imóveis alto padrão,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
casa em condomínio canela,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
investir em imóvel em canela,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
canela imóveis alto padrão,Corresp. exata,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
apartamento novo em Gramado,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
casa com vista em Gramado,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
imóveis na serra gaúcha Gramado,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
investimento imobiliário Gramado,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
imóveis de luxo na serra gaúcha,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
alto padrão em Gramado RS,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
casa moderna em Gramado,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
apartamento premium Gramado,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
casa próxima ao centro Gramado,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
apartamento próximo ao centro Gramado,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
gramado imóveis para investir,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
gramado imóveis prontos para morar,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
aluguel casa gramado,Corresp. exata,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
aluguel de imóveis canela,Corresp. exata,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
