Semana,Cliques,Impressões,CPC méd.,Custo
Semana de 7 de jul. de 2025,92,604,"R$ 1,13","R$ 103,92"
Semana de 14 de jul. de 2025,227,1.683,"R$ 0,64","R$ 145,99"
Semana de 21 de jul. de 2025,307,2.507,"R$ 0,45","R$ 137,16"
Semana de 28 de jul. de 2025,369,3.596,"R$ 0,37","R$ 136,96"
Semana de 4 de ago. de 2025,307,2.833,"R$ 0,41","R$ 124,69"
Semana de 11 de ago. de 2025,789,5.567,"R$ 0,66","R$ 520,64"
Semana de 18 de ago. de 2025,635,5.291,"R$ 0,47","R$ 296,77"
Semana de 25 de ago. de 2025,566,5.029,"R$ 0,46","R$ 262,96"
Semana de 1 de set. de 2025,487,4.647,"R$ 0,94","R$ 459,17"
Semana de 8 de set. de 2025,274,2.543,"R$ 0,79","R$ 216,20"
Semana de 15 de set. de 2025,316,2.491,"R$ 0,68","R$ 215,68"
Semana de 22 de set. de 2025,316,2.929,"R$ 0,87","R$ 275,15"
Semana de 29 de set. de 2025,293,3.216,"R$ 0,85","R$ 248,21"
Semana de 6 de out. de 2025,296,2.876,"R$ 1,17","R$ 346,99"
Semana de 13 de out. de 2025,203,1.700,"R$ 0,94","R$ 190,60"
